"","Country","GID_0","Year","Age","LifeExpectancy","Sex"
"159","Nigeria","NGA","2025","57","17.5627","F"
"160","Nigeria","NGA","2025","58","16.8665","F"
"161","Nigeria","NGA","2025","59","16.1795","F"
"162","Nigeria","NGA","2025","60","15.5035","F"
"163","Nigeria","NGA","2025","61","14.8401","F"
"164","Nigeria","NGA","2025","62","14.1906","F"
"165","Nigeria","NGA","2025","63","13.5555","F"
"166","Nigeria","NGA","2025","64","12.9351","F"
"167","Nigeria","NGA","2025","65","12.3296","F"
"168","Nigeria","NGA","2025","66","11.7394","F"
"169","Nigeria","NGA","2025","67","11.165","F"
"170","Nigeria","NGA","2025","68","10.6076","F"
"171","Nigeria","NGA","2025","69","10.0685","F"
"172","Nigeria","NGA","2025","70","9.5487","F"
"173","Nigeria","NGA","2025","71","9.0488","F"
"174","Nigeria","NGA","2025","72","8.5685","F"
"175","Nigeria","NGA","2025","73","8.1068","F"
"176","Nigeria","NGA","2025","74","7.6624","F"
"177","Nigeria","NGA","2025","75","7.234","F"
"178","Nigeria","NGA","2025","76","6.8212","F"
"179","Nigeria","NGA","2025","77","6.4247","F"
"180","Nigeria","NGA","2025","78","6.046","F"
"181","Nigeria","NGA","2025","79","5.6871","F"
"182","Nigeria","NGA","2025","80","5.3494","F"
"183","Nigeria","NGA","2025","81","5.0336","F"
"184","Nigeria","NGA","2025","82","4.7383","F"
"185","Nigeria","NGA","2025","83","4.4607","F"
"186","Nigeria","NGA","2025","84","4.1972","F"
"187","Nigeria","NGA","2025","85","3.9448","F"
"188","Nigeria","NGA","2025","86","3.702","F"
"189","Nigeria","NGA","2025","87","3.469","F"
"190","Nigeria","NGA","2025","88","3.2481","F"
"191","Nigeria","NGA","2025","89","3.0424","F"
"192","Nigeria","NGA","2025","90","2.8544","F"
"193","Nigeria","NGA","2025","91","2.6855","F"
"194","Nigeria","NGA","2025","92","2.5352","F"
"195","Nigeria","NGA","2025","93","2.4009","F"
"196","Nigeria","NGA","2025","94","2.279","F"
"197","Nigeria","NGA","2025","95","2.1658","F"
"198","Nigeria","NGA","2025","96","2.0585","F"
"199","Nigeria","NGA","2025","97","1.9555","F"
"200","Nigeria","NGA","2025","98","1.8555","F"
"201","Nigeria","NGA","2025","99","1.7574","F"
"202","Nigeria","NGA","2025","101","1.658","F"
